,FileName,XMin,YMin,XMax,YMax,ClassName
0,0470f9aa3330efcb.jpg,0.004688,0.797917,0.023438,0.845833,lights
1,0470f9aa3330efcb.jpg,0.129688,0.879167,0.178125,0.897917,lights
2,0470f9aa3330efcb.jpg,0.260938,0.910417,0.273438,0.939583,lights
3,0470f9aa3330efcb.jpg,0.5125,0.591667,0.542188,0.66875,lights
4,0470f9aa3330efcb.jpg,0.60625,0.016666999999999998,0.74375,0.375,lights
5,0470f9aa3330efcb.jpg,0.625,0.522917,0.657812,0.625,lights
6,0470f9aa3330efcb.jpg,0.70625,0.0,0.875,0.24375,lights
7,0470f9aa3330efcb.jpg,0.9203129999999999,0.575,0.975,0.733333,lights
8,5fb11d064b963caf.jpg,0.203125,0.44166700000000003,0.22125,0.490833,lights
9,16d7876c0c7a3af9.jpg,0.039375,0.42213900000000004,0.05375,0.468105,lights
10,16d7876c0c7a3af9.jpg,0.194375,0.427767,0.208125,0.466229,lights
11,16d7876c0c7a3af9.jpg,0.19625,0.466229,0.2025,0.47842399999999996,lights
12,16d7876c0c7a3af9.jpg,0.229375,0.438086,0.236875,0.46341499999999997,lights
13,16d7876c0c7a3af9.jpg,0.265625,0.23546,0.31125,0.272045,lights
14,16d7876c0c7a3af9.jpg,0.274375,0.454034,0.281875,0.47279499999999997,lights
15,16d7876c0c7a3af9.jpg,0.285625,0.37898699999999996,0.323125,0.395872,lights
16,16d7876c0c7a3af9.jpg,0.31375,0.402439,0.333125,0.41744799999999993,lights
17,16d7876c0c7a3af9.jpg,0.4125,0.409944,0.43,0.42307700000000004,lights
18,16d7876c0c7a3af9.jpg,0.438125,0.386492,0.46625,0.40431500000000004,lights
19,16d7876c0c7a3af9.jpg,0.46375,0.48217600000000005,0.46875,0.493433,lights
20,16d7876c0c7a3af9.jpg,0.465,0.46341499999999997,0.471875,0.481238,lights
21,16d7876c0c7a3af9.jpg,0.4675,0.24484099999999998,0.51375,0.281426,lights
22,16d7876c0c7a3af9.jpg,0.50875,0.45778599999999997,0.5175,0.481238,lights
23,16d7876c0c7a3af9.jpg,0.581875,0.448405,0.593125,0.48311400000000004,lights
24,16d7876c0c7a3af9.jpg,0.5825,0.486867,0.593125,0.512195,lights
25,43afffdfedaeff99.jpg,0.085625,0.368814,0.0925,0.39775900000000003,lights
26,8938f49956d3552a.jpg,0.055,0.572233,0.086875,0.664165,lights
27,e9ccb3bbc3a12c1d.jpg,0.130469,0.7875,0.138281,0.80625,lights
28,e9ccb3bbc3a12c1d.jpg,0.24375,0.613542,0.260938,0.66875,lights
29,e9ccb3bbc3a12c1d.jpg,0.25156300000000004,0.610417,0.275,0.6625,lights
30,e9ccb3bbc3a12c1d.jpg,0.301562,0.720833,0.317187,0.759375,lights
31,e9ccb3bbc3a12c1d.jpg,0.317187,0.722917,0.33125,0.757292,lights
32,e9ccb3bbc3a12c1d.jpg,0.582812,0.589583,0.604688,0.65,lights
33,4daaab9f01df05f9.jpg,0.0675,0.48554899999999995,0.10666700000000001,0.596532,lights
34,4daaab9f01df05f9.jpg,0.076667,0.6,0.118333,0.673988,lights
35,4daaab9f01df05f9.jpg,0.120833,0.472832,0.165,0.591908,lights
36,d293fd0b4f85fb56.jpg,0.5966229999999999,0.21149899999999996,0.659162,0.355236,lights
37,d293fd0b4f85fb56.jpg,0.66354,0.21149899999999996,0.713571,0.362081,lights
38,d293fd0b4f85fb56.jpg,0.70419,0.264887,0.774859,0.451061,lights
39,d293fd0b4f85fb56.jpg,0.731082,0.459959,0.74359,0.5592060000000001,lights
40,d293fd0b4f85fb56.jpg,0.734209,0.5612590000000001,0.766729,0.610541,lights
41,d293fd0b4f85fb56.jpg,0.7510939999999999,0.44079399999999996,0.8217639999999999,0.524983,lights
42,c71150221fdb4882.jpg,0.336875,0.113722,0.491875,0.585526,lights
43,65ab6412fda1ba30.jpg,0.12125,0.518762,0.146875,0.553471,lights
44,65ab6412fda1ba30.jpg,0.153125,0.426829,0.16875,0.494371,lights
45,65ab6412fda1ba30.jpg,0.506875,0.330206,0.5325,0.413696,lights
46,65ab6412fda1ba30.jpg,0.868125,0.48874300000000004,0.88125,0.529081,lights
47,65ab6412fda1ba30.jpg,0.869375,0.565666,0.88875,0.590056,lights
48,85e43fc4b0139456.jpg,0.275,0.600833,0.414375,0.761667,lights
